,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,014-1,2604.55545190647,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,014-2,2634.44040356172,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,048-1,2588.44113283826,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,048-2,2690.55521465423,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,Blank,-5.51745784010582,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,001-1,3189.64923320413,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,001-2,3102.95167050618,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,001-3,2974.04102679845,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,001-4,3296.52484475056,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,001-5,3269.04774190769,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,009-1,3196.6339351264,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,009-2,3187.11235364047,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,009-3,3205.9631017196,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,009-4,3298.35725746885,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,009-5,3541.60325006475,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,015-1,3466.61918600943,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,015-2,3501.83801420184,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,015-3,3475.75408485598,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,015-4,3548.34641321834,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,015-5,3351.2673577211,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,052-1,2682.93946270705,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,052-2,3224.84075305346,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,052-3,3117.53731898162,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,052-4,3389.13156466679,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,052-5,3315.66343948266,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,065-1,2895.53225051741,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,065-2,2873.15047574796,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,065-3,2721.59607369916,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,065-4,3125.59572331319,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,065-5,2878.15305238726,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,076-1,3186.72971672308,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,076-2,3064.56121314791,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,076-3,3228.71835128344,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,076-4,3312.27247813951,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,076-5,3395.0789396204,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,077-1,1919.82251753817,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,077-2,2237.68818609109,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,077-3,1905.54468265191,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,077-4,1584.2531418369,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,077-5,2147.19708982901,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,096-1,2348.58056383808,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,096-2,2691.16725557716,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,096-3,2607.01565107802,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,096-4,2717.97086029961,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,096-5,2707.80662958311,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,103-1,2858.52339966593,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,103-2,2861.9583057882,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,103-3,2658.85889595314,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,103-4,2783.76504573267,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,103-5,2803.32247199517,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,107-4,2446.04423826113,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,107-5,2232.94965172816,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,107-1,2276.45212381272,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,107-2,2288.13893799712,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,107-3,2504.0512160989,,Unknown,Unassigned,False
